1
100 10000 10000
53 27 517 484
43 93 565 436
17 87 262 739
91 57 929 72
34 97 815 186
8 23 276 725
25 89 704 297
93 84 512 489
99 33 46 955
8 23 359 642
48 49 501 500
1 53 335 666
76 47 688 313
19 39 346 655
81 65 139 862
48 49 761 240
21 19 321 680
40 91 981 20
34 97 425 576
46 31 950 51
67 55 553 448
67 55 712 289
4 13 311 690
24 7 148 853
67 55 654 347
88 38 117 884
90 46 187 814
30 28 922 79
84 51 330 671
90 46 208 793
57 20 439 562
18 60 29 972
39 30 694 307
58 2 592 409
54 68 826 175
36 96 640 361
96 26 394 607
49 37 539 462
57 20 2 999
62 5 303 698
45 17 654 347
14 77 399 602
81 65 252 749
63 48 372 629
34 97 861 140
49 37 304 697
2 6 21 980
48 49 441 560
91 57 647 354
67 55 802 199
64 62 949 52
40 91 124 877
50 16 381 620
21 19 705 296
1 53 372 629
8 23 938 63
14 77 817 184
76 47 587 414
25 89 85 916
44 73 708 293
28 58 824 177
49 37 703 298
3 61 216 785
27 79 832 169
86 42 367 634
26 21 677 324
10 83 520 481
80 41 242 759
20 64 135 866
28 58 459 542
22 50 324 677
59 54 62 939
24 7 216 785
26 21 70 931
1 53 37 964
66 90 941 60
38 70 439 562
52 36 787 214
79 4 767 234
95 82 151 850
67 55 860 141
81 65 413 588
38 70 569 432
98 40 700 301
59 54 333 668
36 96 928 73
84 51 509 492
66 90 166 835
5 95 681 320
57 20 703 298
71 9 886 115
34 97 209 792
43 93 191 810
19 39 248 753
18 60 258 743
99 33 624 377
85 43 985 16
69 98 2 999
43 93 321 680
30 28 691 310
33 85 44 957
45 17 563 438
20 64 386 615
27 79 986 15
30 28 41 960
90 46 682 319
2 6 806 195
77 67 556 445
30 28 142 859
85 43 834 167
54 68 85 916
6 72 319 682
81 65 179 822
21 19 949 52
88 38 745 256
84 51 876 125
71 9 327 674
83 29 889 112
32 11 758 243
52 36 436 565
76 47 836 165
90 46 597 404
89 78 595 406
76 47 205 796
34 97 679 322
35 92 717 284
52 36 122 879
94 32 532 469
71 9 566 435
33 85 721 280
78 44 949 52
12 3 117 884
59 54 305 696
43 93 951 50
70 34 711 290
84 51 422 579
64 62 667 334
1 53 172 829
27 79 465 536
27 79 320 681
58 2 188 813
36 96 902 99
21 19 445 556
56 52 953 48
70 34 634 367
81 65 645 356
36 96 73 928
8 23 637 364
40 91 416 585
54 68 254 747
71 9 647 354
44 73 392 609
54 68 411 590
81 65 683 318
